window_size,alphabet_size,f1_ortalama,f1_std,state_sayisi,gecis_yogunlugu
3,3,0.5188370578807688,0.009660344876874744,18.2,0.4304020689158016
3,4,0.495094801119418,0.06495856013688174,35.0,0.21679116389504022
3,5,0.5015694224368974,0.0519474119228393,55.4,0.1379813716908454
3,6,0.5193307186042959,0.017574125403426937,85.8,0.08946700599797434
4,3,0.5205235767936468,0.008752195837414777,39.4,0.30060921111860034
4,4,0.493570646634215,0.054299453256478586,84.2,0.12152300303924987
4,5,0.49685089456427917,0.04968250616808969,150.6,0.05786976846893813
4,6,0.5201496987614895,0.016460088034633016,241.4,0.03348221503135783
5,3,0.5216458678859199,0.008304272909330309,80.2,0.17724960776804327
5,4,0.47808163329241316,0.0661282760872143,181.4,0.05833216545409729
5,5,0.4998196176903111,0.04769922019995178,348.0,0.023072190132966193
5,6,0.5209353058600213,0.015881677546094625,575.0,0.0116929892273645
6,3,0.5226621393060996,0.007931773801066492,157.2,0.08302075084887933
6,4,0.49033443981340213,0.05995031772032347,358.2,0.02439877942833018
6,5,0.5044769164998255,0.04755957031315811,685.0,0.009515112734353941
6,6,0.5215948419787978,0.015088544147848638,1157.2,0.004174360813202112
